Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
BTC,17/09/2019,10301.65965,10231.42151,10306.1484,10373.06351,10093.14028
BTC,18/09/2019,10231.42151,10168.28771,10301.66126,10304.62364,10145.34576
BTC,19/09/2019,10168.28771,10223.50558,10231.41302,10263.82338,10094.32501
BTC,20/09/2019,10223.50558,10138.33521,10166.77877,10286.01075,9687.29416
BTC,21/09/2019,10138.33521,9984.520516,10223.50709,10289.21566,10065.62894
BTC,22/09/2019,9984.520516,10031.86671,10138.35756,10179.74247,9908.572815
BTC,23/09/2019,10031.86671,9719.718696,9984.518857,10083.09813,9850.753085
BTC,24/09/2019,9719.718696,8688.973526,10031.86687,10062.91987,9630.695768
BTC,25/09/2019,8688.973526,8438.708552,9719.704257,9770.161484,7944.334498
BTC,26/09/2019,8438.708552,8103.2109,8528.464788,8741.509561,8230.466526
BTC,27/09/2019,8103.2109,8195.210697,8438.716459,8462.412486,7757.276118
BTC,28/09/2019,8195.210697,8146.414032,8103.901572,8286.743263,7869.55317
BTC,29/09/2019,8146.414032,8085.71329,8183.316058,8321.160587,7723.691419
BTC,30/09/2019,8085.71329,8241.34147,8146.422964,8228.641494,7905.017736
BTC,01/10/2019,8241.34147,8333.68919,8055.694139,8331.291686,7728.678427
BTC,02/10/2019,8333.68919,8273.464018,8298.624775,8508.705409,8195.045244
BTC,03/10/2019,8273.464018,8203.843833,8333.710296,8388.015862,8177.694601
BTC,04/10/2019,8203.843833,8163.902638,8273.457419,8412.650047,8060.325317
BTC,05/10/2019,8163.902638,8137.146689,8231.786249,8240.948769,8014.419323
BTC,06/10/2019,8137.146689,7853.693305,8163.901441,8196.249514,8025.500462
BTC,07/10/2019,7853.693305,8236.208379,8138.833489,8171.568254,7802.464851
BTC,08/10/2019,8236.208379,8201.637818,7850.684576,8304.140139,7777.631571
BTC,09/10/2019,8201.637818,8572.380812,8236.205875,8316.990673,8113.111805
BTC,10/10/2019,8572.380812,8582.144518,8173.838803,8691.072691,8117.91224
BTC,11/10/2019,8582.144518,8320.171581,8572.382301,8654.382776,8435.18651
BTC,12/10/2019,8320.171581,8328.60426,8582.148123,8796.457282,8288.227631
BTC,13/10/2019,8328.60426,8282.177326,8320.168154,8406.142415,8225.301457
BTC,14/10/2019,8282.177326,8337.818999,8309.172913,8468.97364,8167.264904
BTC,15/10/2019,8337.818999,8162.44,8282.181596,8385.55341,8214.318868
BTC,16/10/2019,8162.44,8003.820395,8355,8420,8096.62
BTC,17/10/2019,8003.820395,8058.058081,8166.344773,8184.386436,7918.275881
BTC,18/10/2019,8058.058081,7970.239476,8003.819261,8120.121106,7937.852166
BTC,19/10/2019,7970.239476,7943.347107,8058.058875,8121.045885,7820.066343
BTC,20/10/2019,7943.347107,8200.318763,7956.890802,8095.903392,7882.646968
BTC,21/10/2019,8200.318763,8200.246099,7943.352412,8306.004901,7884.518625
BTC,22/10/2019,8200.246099,8073.409544,8233.799468,8346.556497,8152.237887
BTC,23/10/2019,8073.409544,7420.415836,8200.244382,8309.665328,8054.948065
BTC,24/10/2019,7420.415836,7460.617416,8027.293815,8054.994888,7307.391946
BTC,25/10/2019,7460.617416,8591.223897,7420.414034,7503.599764,7347.630865
BTC,26/10/2019,8591.223897,9171.306532,7421.571805,8762.680498,7393.261413
BTC,27/10/2019,9171.306532,9578.367556,8591.236577,10332.40951,8591.225768
BTC,28/10/2019,9578.367556,9458.22336,9259.521873,9813.443885,9103.737134
BTC,29/10/2019,9458.22336,9455.724693,9578.364387,9930.974021,9272.656652
BTC,30/10/2019,9455.724693,9225.995479,9228.074502,9551.778726,9125.778457
BTC,31/10/2019,9225.995479,9131.41063,9455.728198,9468.963245,9004.132304
BTC,01/11/2019,9131.41063,9197.632345,9225.997769,9425.44994,8954.89964
BTC,02/11/2019,9197.632345,9290.896602,9131.417153,9291.117644,9047.176594
BTC,03/11/2019,9290.896602,9202.415451,9230.478858,9377.084522,9197.833142
BTC,04/11/2019,9202.415451,9369.628081,9290.899794,9362.633137,9074.382879
BTC,05/11/2019,9369.628081,9326.599624,9203.826007,9526.165195,9125.861531
BTC,06/11/2019,9326.599624,9335.752402,9404.38087,9466.070961,9173.044686
BTC,07/11/2019,9335.752402,9226.485821,9326.592531,9439.215735,9254.732115
BTC,08/11/2019,9226.485821,8794.358645,9331.215796,9364.590814,9088.107628
BTC,09/11/2019,8794.358645,8798.042055,9205.618606,9247.614352,8666.389614
BTC,10/11/2019,8798.042055,9081.186878,8794.36261,8881.909087,8719.961753
BTC,11/11/2019,9081.186878,8711.534339,8798.036067,9123.338511,8742.737626
BTC,12/11/2019,8711.534339,8760.892718,9081.177733,9096.026278,8613.892395
BTC,13/11/2019,8760.892718,8749.520591,8711.536153,8856.381556,8564.937933
BTC,14/11/2019,8749.520591,8656.970922,8760.888546,8837.921252,8703.63545
BTC,15/11/2019,8656.970922,8500.643558,8758.546642,8785.054199,8562.374593
BTC,16/11/2019,8500.643558,8469.260899,8656.971858,8763.903472,8359.849192
BTC,17/11/2019,8469.260899,8537.339652,8500.643936,8539.132174,8423.543205
BTC,18/11/2019,8537.339652,8205.806366,8469.261015,8624.956305,8369.224963
BTC,19/11/2019,8205.806366,8118.488536,8500.644603,8500.646489,8035.885907
BTC,20/11/2019,8118.488536,8074.843174,8205.810043,8205.810043,7988.922628
BTC,21/11/2019,8074.843174,7612.740574,8119.484444,8215.619589,8029.097727
BTC,22/11/2019,7612.740574,7262.110535,8074.840561,8118.113996,7420.281322
BTC,23/11/2019,7262.110535,7303.405759,7618.579413,7717.802088,6804.143065
BTC,24/11/2019,7303.405759,7041.732936,7262.127934,7354.862635,7094.975791
BTC,25/11/2019,7041.732936,7211.861809,7303.414265,7338.698677,6920.631497
BTC,26/11/2019,7211.861809,7141.069449,6894.651354,7368.147389,6524.552859
BTC,27/11/2019,7141.069449,7523.480673,7211.870983,7336.30101,7012.057702
BTC,28/11/2019,7523.480673,7390.207469,7141.075509,7660.64037,6851.62293
BTC,29/11/2019,7390.207469,7729.265939,7523.472887,7647.518089,7379.309918
BTC,30/11/2019,7729.265939,7542.235609,7390.210656,7856.607906,7378.405543
BTC,01/12/2019,7542.235609,7381.963008,7748.335487,7805.029322,7439.098867
BTC,02/12/2019,7381.963008,7333.43293,7542.245344,7564.940079,7238.322233
BTC,03/12/2019,7333.43293,7315.367765,7381.962005,7440.615736,7162.492125
BTC,04/12/2019,7315.367765,7213.733762,7315.439203,7407.410775,7238.730592
BTC,05/12/2019,7213.733762,7398.78705,7315.369274,7767.908725,7089.141289
BTC,06/12/2019,7398.78705,7511.880583,7213.743416,7488.137772,7155.119946
