Currency,Date,Today_Closing_Price,NextDay_Closing_Price,Opening_Price,24h_High,24h_Low
ETC,09/08/2019,5.95143835,5.789695229,5.933504247,6.181580068,5.875469801
ETC,10/08/2019,5.789695229,5.653248926,5.951583196,6.022941669,5.732242971
ETC,11/08/2019,5.653248926,5.812633034,5.789683903,5.892012967,5.538552966
ETC,12/08/2019,5.812633034,5.786176319,5.643895606,5.877592031,5.640874266
ETC,13/08/2019,5.786176319,5.908630126,5.812606339,5.888181074,5.714328791
ETC,14/08/2019,5.908630126,5.645913938,5.786109058,6.024331318,5.7313383
ETC,15/08/2019,5.645913938,5.652408429,5.957975779,6.147884938,5.469222431
ETC,16/08/2019,5.652408429,5.547559613,5.646071849,5.760315575,5.471208878
ETC,17/08/2019,5.547559613,5.46746524,5.650706008,5.651327013,5.441046112
ETC,18/08/2019,5.46746524,5.61085195,5.547813665,5.562142817,5.397903116
ETC,19/08/2019,5.61085195,5.546114316,5.45996517,5.665918706,5.421605468
ETC,20/08/2019,5.546114316,6.083324992,5.610884906,5.666164195,5.439954896
ETC,21/08/2019,6.083324992,5.987034888,5.54146878,6.18254979,5.484515226
ETC,22/08/2019,5.987034888,7.324042675,6.085057894,6.372216006,5.859052623
ETC,23/08/2019,7.324042675,7.166867567,5.98726153,7.694273051,5.976804049
ETC,24/08/2019,7.166867567,6.924750723,7.220689347,7.556772594,6.862737505
ETC,25/08/2019,6.924750723,7.123167563,7.146764668,7.22067401,6.765240742
ETC,26/08/2019,7.123167563,7.324591958,6.924450357,7.421769057,6.847178229
ETC,27/08/2019,7.324591958,7.168104328,7.139624254,7.565144808,7.127201824
ETC,28/08/2019,7.168104328,6.447682684,7.323836975,7.357330756,7.104456403
ETC,29/08/2019,6.447682684,5.960955028,7.19793467,7.244728142,6.22253968
ETC,30/08/2019,5.960955028,6.389640553,6.447652667,6.481326227,5.696362314
ETC,31/08/2019,6.389640553,6.306671385,5.960688526,6.47805162,5.742167481
ETC,01/09/2019,6.306671385,6.268925561,6.316198358,6.444115217,6.159546798
ETC,02/09/2019,6.268925561,6.77571805,6.304248545,6.336488812,6.089937983
ETC,03/09/2019,6.77571805,6.892300925,6.271212329,6.899297177,6.210116976
ETC,04/09/2019,6.892300925,6.7457507,6.71240596,7.037203876,6.63967673
ETC,05/09/2019,6.7457507,7.017738764,6.892432653,6.895707851,6.669961294
ETC,06/09/2019,7.017738764,6.824986406,6.749310696,7.219856323,6.714738656
ETC,07/09/2019,6.824986406,6.717296659,7.017837358,7.146834068,6.76030323
ETC,08/09/2019,6.717296659,6.64157471,6.824704187,6.831271048,6.310307103
ETC,09/09/2019,6.64157471,6.642679659,6.665542832,6.794217006,6.581826225
ETC,10/09/2019,6.642679659,6.453164351,6.641361987,6.787247722,6.386367764
ETC,11/09/2019,6.453164351,6.31943557,6.642679727,6.753053699,6.436600698
ETC,12/09/2019,6.31943557,6.232883613,6.528665213,6.592068593,6.119366438
ETC,13/09/2019,6.232883613,6.159182575,6.319524747,6.389942607,6.207601072
ETC,14/09/2019,6.159182575,6.273975569,6.232852122,6.256140312,6.113361705
ETC,15/09/2019,6.273975569,6.254528111,6.159307938,6.313600769,6.118567139
ETC,16/09/2019,6.254528111,6.239640966,6.261639502,6.347307828,6.232042361
ETC,17/09/2019,6.239640966,6.38296349,6.25452434,6.341296534,6.141385802
ETC,18/09/2019,6.38296349,6.427099711,6.239634181,6.447500775,6.172377034
ETC,19/09/2019,6.427099711,6.217004656,6.382961389,6.538922286,6.287764851
ETC,20/09/2019,6.217004656,6.113383696,6.382127266,6.382127266,5.771070517
ETC,21/09/2019,6.113383696,6.128556583,6.217067472,6.284040243,5.965226448
ETC,22/09/2019,6.128556583,6.0296223,6.113392421,6.197783693,6.04412127
ETC,23/09/2019,6.0296223,5.839352933,6.128250237,6.139733536,5.937139055
ETC,24/09/2019,5.839352933,4.711365837,6.029624279,6.086335177,5.811213844
ETC,25/09/2019,4.711365837,4.858618759,5.839230433,5.868930933,4.249741763
ETC,26/09/2019,4.858618759,4.723911131,4.710243742,4.994836918,4.533690168
